row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
5101034	19	REALIZABLE	walk	10.02	1024	yes	yes				
5115025	21	REALIZABLE	walk	8.72	16384	yes	yes				
5159768	16	REALIZABLE	walk	1.43	1024	yes	yes				
5178084	17	REALIZABLE	store_walk	2.99	1024	yes	yes				
5193545	16	REALIZABLE	walk	4.98	64	yes	yes				
5236613	19	REALIZABLE	walk	41.28	1024	yes	yes				
5246735	18	REALIZABLE	walk	2.24	16384	yes	yes				
5253037	18	REALIZABLE	walk	30.17	1024	yes	yes				
5288949	19	REALIZABLE	walk	28.76	1024	yes	yes				
5298491	16	REALIZABLE	walk	2.77	1024	yes	yes				
5301846	19	REALIZABLE	walk	3.09	1024	yes	yes				
5307915	17	REALIZABLE	store_walk	1.22	64	yes	yes				
5312454	17	REALIZABLE	walk	16.85	1024	yes	yes				
5324328	17	REALIZABLE	store	0.94	256	yes	yes				
5329825	20	REALIZABLE	walk	2.98	1024	yes	yes				
5329996	18	REALIZABLE	walk	4.96	1024	yes	yes				
5331146	17	REALIZABLE	store_walk	0.87	16384	yes	yes				
5356492	21	REALIZABLE	walk	8.83	16384	yes	yes				
5398419	17	REALIZABLE	walk	29.14	64	yes	yes				
5428019	17	REALIZABLE	walk	1.85	1024	yes	yes				
5454090	19	REALIZABLE	walk	30.16	16384	yes	yes				
5459000	17	REALIZABLE	walk	1.76	1024	yes	yes				
5471051	21	REALIZABLE	walk	8.30	262144	yes	yes				
5493753	17	REALIZABLE	walk	2.24	1024	yes	yes				
5498207	22	REALIZABLE	walk	3.31	262144	yes	yes				
5500905	21	REALIZABLE	fresh	1.61	1024	yes	yes				
5513785	21	REALIZABLE	walk	7.45	1024	yes	yes				
5514695	14	REALIZABLE	walk	2.73	1024	yes	yes				
5515844	18	REALIZABLE	store_walk	1.01	64	yes	yes				
5535032	20	REALIZABLE	walk	2.58	1024	yes	yes				
5593952	17	REALIZABLE	walk	2.51	64	yes	yes				
5600139	20	REALIZABLE	walk	1.74	64	yes	yes				
5600178	19	REALIZABLE	walk	2.73	1024	yes	yes				
5616046	16	REALIZABLE	walk	28.59	131072	yes	yes				
5626380	21	REALIZABLE	walk	17.02	1024	yes	yes				
